省	市	区	地址
山西省	太原市	古交市	西山煤电(集团)有限责任公司古交矿区总医院镇城底分院
山东省	淄博市	光正公司医院	
江苏省	宿迁市	泗阳县	协和医院
陆军四十二医院			
江苏省	苏州市	吴江区	第五人民医院
广西壮族自治区	钦州市	钦北区	中医医院
四川省	巴中市	巴州区	第二人民医院
河南省	平顶山市	汝州市	人民医院北院区
天津市	天津市	西青江景医院有限公司	
陕西省	渭南市	临渭区	渭南红化医院
北京市	北京市	中国石油大学(北京)校医院	
黑龙江省	农垦总局建三江分局浓江农场医院		
平罗友谊医院			
宁夏回族自治区	吴忠市	青铜峡市	连湖农场职工医院
黑龙江省	齐齐哈尔市	医学院附属第四医院	
河南省	许昌市	卷烟厂职工医院	
浙江省	宁波市	舟山港集团有限公司职工医院	
天津市	天津市	静海济祥医院有限公司	
喀左县糖尿病医院			
山东省	济宁市	脉管炎医院	
黑龙江省	牡丹江市	北方医院	
广东省	东莞市	台心医院	
山东省	烟台市	富顺医院	
黑龙江省	鸡西市	同济医院	
黑龙江省	伊春市	伊春区	伊木加医院
山西省	大同市	云城内分泌医院	
陕西省	西安市	大兴医院	
湖北省	武汉市	中心医院后湖院区	
辽宁省	沈阳市	沈北维康医院	
辽宁省	大连市	友好关爱医院	
贵州省	贵阳市	白云区	第二人民医院
河北省	保定市	阜平县	中医医院
中国人民解放军第十五医院			
北京市	北京市	西京中医医院	
内蒙古自治区	巴彦淖尔市	杭锦后旗	中蒙医院
黎勇仁本医院			
甘肃省	平凉市	华亭市	县人民医院
山西省	晋城市	无烟煤矿业集团有限责任公司总医院	
辽宁省	沈阳市	飞机设计研究所职工医院	
山东省	菏泽市	定陶康乐医院	
陕西省	压延设备厂职工医院		
邯邢冶金矿山管理局职工总医院			
贵州省	遵义市	湄潭县	中医院
四川省	巴中市	通江县	东方医院
四川省	达州市	宣汉县	人民医院土主分院
四川省	德阳市	绵竹市	方大医院
河北省	邢台市	平乡县	第二人民医院
总装备部25基地517医院			
山东省	淄博市	建筑工程公司医院	
重庆市	重庆市	南川区	交通职工医院
应急总医院			
安徽省	阜阳市	颍东区	京九医院
河南省	驻马店市	马同长医院	
辽宁省	大连市	北市集团公司医院	
中国人民解放军联勤保障部队第九八三医院			
云南省	西双版纳傣族自治州	景洪市	西双版纳州景洪农场职工医院
山西省	忻州市	忻府区	中医院
永登百草堂医院			
山西省	阳泉市	仁济中西医结合医院	
山西省	运城市	永济市	中医医院
湖南省	益阳市	中医医院	
天津市	天津市	天钢集团有限公司冶金医院	
北京市	北京市	核工业医院天津院区	
天津市	天津市	津市市	武清区仁和医院
天津市	天津市	津市市	河东香山医院
吉林省	长春市	大安市	铁路分局大安北铁路医院
天津市	天津市	津市市	第一中心(滨海)医院
天津市	天津市	津市市	静海县医院
河北省	石家庄市	中医院东院区	
福建省	厦门市	弘爱养护院有限公司	
四川省	成都市	龙泉驿区	西河镇公立卫生院龙泉驿区西河镇中医医院
辽宁省	沈阳市	铁西恩泽中医院有限公司	
北秀中医院			
河北省	石家庄市	平安医院	
上海市	上海市	徐汇区	新乐街道医院
河北省	秦皇岛市	北戴河区	人民医院
河北省	张家口市	宣化县人民医院	
河北省	沧州市	泊头市	人民医院
广东省	梅州市	平远县	人民医院
山西省	运城市	垣曲县	中医医院
广西壮族自治区	国际壮医医院		
山东省	烟台市	昆仑山医院	
四川省	宜宾市	中医院	
辽宁省	盘锦市	大洼县大洼镇医院	
云南省	玉溪市	通海县	康福医院
新绛纺织有限责任公司职工医院			
中国人民解放军第九0五医院			
天津市	天津市	津市市	区大港区板桥医院
广西壮族自治区	百色市	田东县	中医医院
上海市	上海市	虹口区	江湾医院
天津市	天津市	津市市	滨江医院
上海市	上海市	中冶医院	
山西省	运城市	盐湖区	解州铝厂永济分厂医院
江苏省	徐州市	中煤第五建设公司职工医院	
浙江省	杭州市	拱墅区	湖墅人民医院
武功广慈医院			
陕西省	榆林市	榆阳区	惠民医院
中国人民解放军第306医院			
杨陵职业技术学院医院			
山西省	阳泉市	日潭医院	
北京市	北京市	延庆县第二医院	
湖北省	宜昌市	国勇风湿医院	
中航一集团五七一六五厂职工医院			
山东省	济宁市	兖州市鼓楼医院	
浙江省	温州市	医科大学附属第二医院南浦院区	
广西壮族自治区	梧州市	中山医院	
陕西省	西安市	新华医院有限责任公司	
广东省	汕尾市	陆丰市	甲子康济达中医院
河北省	邯郸市	隆润医院	
福建省	厦门市	湖里区	江头医院
河南省	焦作市	矿山机器厂职工医院	
四川省	遂宁市	复康医院	
山东省	青岛市	广济心理医院崂山分院	
琼中县黎母山林业公司职工医院			
山东省	菏泽市	白癫风医院	
四川省	遂宁市	公信医院	
广东省	中山市	林州市	医院
山东省	济宁市	监狱医院	
山西省	兰花实业集团有限公司伯方煤矿职工医院		
河北省	唐山市	同仁医院	
湖北省	孝感市	汉川市	三五零九工厂职工医院
四川省	石油管理局川东钻探公司职工医院		
山东省	泰安市	岱岳区	第二人民医院
安徽省	马鞍山市	华霆医院	
黑龙江省	牡丹江市	医学院红旗医院一分院	
陕西省	延安市	志丹县	丰泰医院
陕西省	西安市	航天四院741医院	
陕西省	宝鸡市	高新医院	
山东省	青岛市	北海医院	
山西省	太原市	钢铁集团有限公司总医院曙光医院	
牟平新建医院			
安徽省	马鞍山市	博望区	博康医院
陕西省	咸阳市	三原县	应选医院
山东省	东营市	牛庄医院	
山东省	烟台市	海阳市	轻工医院
陕西省	西安市	西安恒雅医院	
山东省	淄博市	博山中山医院	
山东省	临沂市	蒙阴县	棉纺织有限公司职工医院
山东省	淄博市	柴油机总公司职工医院	
山东省	烟台市	龙矿集团医疗卫生管理中心洼里医院	
陕西省	长岭机器厂职工医院		
上海市	上海市	东风农场医院	
云南省	丽江市	监狱医院	
